custom/total_reward,custom/total_distance,custom/routes_completed,custom/avg_speed,custom/mean_reward,custom/avg_center_dev,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/std,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl
[0.24286814],11.367474436759949,0.01486988847583643,[1.92879946],[0.00379481],0.17929644220564772,,,,,,,,,,,,,,,,,
[0.25625476],12.647233255207539,0.036827195467422094,[1.59060039],[0.00287927],0.22097818439881287,,,,,,,,,,,,,,,,,
-20.0,0.25655606389045715,0.002380952380952381,[0.89630292],-10.0,0.015440039156935653,,,,,,,,,,,,,,,,,
[0.],7.584232542896643,0.02040816326530612,[1.35525024],[0.],0.05518835326381064,,,,,,,,,,,,,,,,,
[-9.65806145],1.059961274266243,0.005494505494505495,[0.75017999],[-0.60362884],0.02270979370765542,,,,,,,,,,,,,,,,,
[0.23930915],3.8212464338866994,0.023529411764705882,[0.84173103],[0.00531798],0.07116046136963639,,,,,,,,,,,,,,,,,
[-9.92742456],2.1062490195035934,0.003552397868561279,[1.37439833],[-0.70910175],0.171952290073252,,,,,,,,,,,,,,,,,
[0.07234974],4.826127924025059,0.016835016835016835,[1.2379299],[0.00185512],0.11314552596402654,,,,,,,,,,,,,,,,,
[0.26094093],12.603270154446363,0.010466988727858293,[2.24076456],[0.00414192],0.25376788688555096,,,,,,,,,,,,,,,,,
-20.0,0.37888166308403015,0.0031847133757961785,[1.1984505],-10.0,0.03561814191265848,,,,,,,,,,,,,,,,,
[-9.78687453],4.068633779883385,0.010964912280701754,[1.10034791],[-0.2509455],0.10374491434073924,,,,,,,,,,,,,,,,,
[0.12306175],2.4484245106577873,0.009230769230769232,[1.39352543],[0.00615309],0.07171286747650071,,,,,,,,,,,,,,,,,
[-10.],3.313242793083191,0.0061068702290076335,[1.37057015],[-0.45454545],0.1474595729789414,,,,,,,,,,,,,,,,,
[-9.93984786],1.8924488555639982,0.012987012987012988,[0.77462607],[-0.38230184],0.10113023797820286,,,,,,,,,,,,,,,,,
[-9.48813763],6.362845778465271,0.008985879332477536,[1.51832477],[-0.2108475],0.1778415302833268,,,,,,,,,,,,,,,,,
[0.39567564],3.8947976622730494,0.019801980198019802,[1.16176195],[0.00989189],0.10514399113215192,,,,,,,,,,,,,,,,,
,,,,,,8,-4.5366689354838705,3072,32.806451612903224,363,3,,,,,,,,,,,
[0.],12.704599890857935,0.025096525096525095,[1.91780316],[0.],0.21603350103553332,,,,,,,1.007042646408081,0.1330078125,1.442544909566641,0.2,9.939267828121601e-05,-0.02089091072557494,30,0.05458414554595947,-0.11243712902069092,-2.850581479072571,0.010162055
-20.0,0.2531954348087311,0.003115264797507788,[0.81987557],-10.0,0.048936361357992564,,,,,,,,,,,,,,,,,
[0.18180406],6.95570064522326,0.0069721115537848604,[1.26625122],[0.00275461],0.11666866653861283,,,,,,,,,,,,,,,,,
[-10.],0.5614287219941616,0.0015455950540958269,[0.61901005],[-1.11111111],0.05465271665808531,,,,,,,,,,,,,,,,,
[-10.],4.214085265994072,0.0061162079510703364,[1.08655906],[-0.28571429],0.16349270734988208,,,,,,,,,,,,,,,,,
[0.06300966],2.8055460415780544,0.021052631578947368,[0.81874296],[0.00175027],0.07871946685556305,,,,,,,,,,,,,,,,,
[0.014181],2.124762073159218,0.013157894736842105,[1.47165367],[0.00083418],0.20054912966434474,,,,,,,,,,,,,,,,,
[-10.],7.01984847523272,0.012411347517730497,[1.63345259],[-0.23809524],0.22777639251098888,,,,,,,,,,,,,,,,,
[0.08132332],2.9574591480195522,0.012552301255230125,[0.89120694],[0.00214009],0.11698267318916042,,,,,,,,,,,,,,,,,
[0.16722628],6.8152331709861755,0.009174311926605505,[1.99826613],[0.00451963],0.33456717997577545,,,,,,,,,,,,,,,,,
-20.0,0.05249074846506119,0.001838235294117647,[0.13529976],-10.0,0.009849245342014316,,,,,,,,,,,,,,,,,
[-9.93851155],2.569854565546848,0.0038809831824062097,[0.81308421],[-0.33128372],0.05780789722148654,,,,,,,,,,,,,,,,,
[0.44779593],13.412766769528389,0.013422818791946308,[2.61899973],[0.00710787],0.15651416619558056,,,,,,,,,,,,,,,,,
[-9.92445912],0.8008092567324638,0.0036036036036036037,[0.69585058],[-0.82703826],0.02151386745879062,,,,,,,,,,,,,,,,,
[0.43251206],2.9415352046489716,0.005089058524173028,[1.37361234],[0.01965964],0.0646482080653782,,,,,,,,,,,,,,,,,
[0.13110152],12.910922400653362,0.07142857142857142,[1.86504957],[0.00190002],0.20363361914971279,,,,,,,,,,,,,,,,,
-20.0,0.09945899993181229,0.001445086705202312,[0.30514558],-10.0,0.015296588537867452,,,,,,,,,,,,,,,,,
[-10.],1.8762162029743195,0.001863932898415657,[0.72082811],[-0.41666667],0.06363145664921294,,,,,,,,,,,,,,,,,
[-9.6749923],6.530345931649208,0.007945516458569807,[2.32950188],[-0.38699969],0.08254657528456708,,,,,,,,,,,,,,,,,
[0.02416241],2.8079503178596497,0.0036991368680641184,[1.46789714],[0.00109829],0.21233082276408147,,,,,,,,,,,,,,,,,
[-9.95563845],4.474805627018213,0.010752688172043012,[1.68413346],[-0.35555852],0.16629793667556145,,,,,,,,,,,,,,,,,
[0.37103795],7.458726424723864,0.013944223107569721,[1.73260207],[0.00806604],0.1649400418971012,,,,,,,,,,,,,,,,,
